66.31.41.234 - - [05/Feb/2014:21:22:48 +0000] "GET /favicon.ico HTTP/1.1" 404 200 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:23:07 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:21:27:27 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:21:35:12 +0000] "GET /css/styles.css HTTP/1.1" 404 200 "http://box.csail.mit.edu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:35:12 +0000] "GET /js/lib/bootstrap.min.js HTTP/1.1" 200 29097 "http://box.csail.mit.edu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:35:12 +0000] "GET /js/lib/jquery-2.1.0.min.js HTTP/1.1" 200 83615 "http://box.csail.mit.edu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:35:12 +0000] "GET /js/application.js HTTP/1.1" 200 539 "http://box.csail.mit.edu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:35:12 +0000] "GET /js/main.js HTTP/1.1" 200 72 "http://box.csail.mit.edu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:35:27 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:21:38:37 +0000] "GET /js/lib/jquery-2.1.0.min.js HTTP/1.1" 304 0 "http://box.csail.mit.edu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:38:37 +0000] "GET /js/lib/bootstrap.min.js HTTP/1.1" 304 0 "http://box.csail.mit.edu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:38:37 +0000] "GET /js/main.js HTTP/1.1" 304 0 "http://box.csail.mit.edu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:38:37 +0000] "GET /js/application.js HTTP/1.1" 304 0 "http://box.csail.mit.edu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:38:37 +0000] "GET /css/styles.css HTTP/1.1" 404 200 "http://box.csail.mit.edu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:41:35 +0000] "GET /js/lib/jquery-2.1.0.min.js HTTP/1.1" 304 0 "http://box.csail.mit.edu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:41:47 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:21:41:47 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:21:41:47 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:21:41:47 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:21:41:47 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:21:43:02 +0000] "GET /css/styles.css HTTP/1.1" 404 200 "http://box.csail.mit.edu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:43:02 +0000] "GET /js/lib/bootstrap.min.js HTTP/1.1" 304 0 "http://box.csail.mit.edu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:43:02 +0000] "GET /js/application.js HTTP/1.1" 304 0 "http://box.csail.mit.edu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:43:02 +0000] "GET /js/main.js HTTP/1.1" 304 0 "http://box.csail.mit.edu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:43:04 +0000] "GET /js/lib/jquery-2.1.0.min.js HTTP/1.1" 304 0 "http://box.csail.mit.edu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:43:04 +0000] "GET /js/lib/bootstrap.min.js HTTP/1.1" 304 0 "http://box.csail.mit.edu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:43:04 +0000] "GET /css/styles.css HTTP/1.1" 404 200 "http://box.csail.mit.edu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:43:04 +0000] "GET /js/main.js HTTP/1.1" 304 0 "http://box.csail.mit.edu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:43:04 +0000] "GET /js/application.js HTTP/1.1" 304 0 "http://box.csail.mit.edu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:43:13 +0000] "GET /css/styles.css HTTP/1.1" 404 200 "http://box.csail.mit.edu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:43:20 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:21:47:57 +0000] "GET /css/styles.css HTTP/1.1" 404 200 "http://box.csail.mit.edu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:47:58 +0000] "GET /css/styles.css HTTP/1.1" 404 200 "http://box.csail.mit.edu/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:48:04 +0000] "GET /css/styles.css HTTP/1.1" 404 200 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:48:10 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:21:48:10 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:21:48:10 +0000] "-" 400 0 "-" "-"
66.31.41.234 - - [05/Feb/2014:21:50:55 +0000] "GET /css/styles.css HTTP/1.1" 404 200 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
66.31.41.234 - - [05/Feb/2014:21:50:56 +0000] "GET /css/styles.css HTTP/1.1" 404 200 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
